Date,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Inland,2636.277224,2572.666018,2762.922905,2988.653387,3254.830685,3329.740845,3443.566077,3764.104815,3629.065959,4139.269055,4232.509123
Ausland,2839.08378,2672.380526,3032.539645,3149.315732,3400.889929,3238.624256,3201.723401,3522.638604,3279.587337,3754.191706,3646.158602
